Stock Price;Strike Price;Maturity;Dividends;Volatility;Risk free;Call Price
454.3;1925;04/03/17;0;0.215064;0;37277.0
0.05;1925;04/03/17;0;0.215064;6293;36889.0
429.3;1950;04/03/17;0;0.215064;0;50734.0
0.05;1950;04/03/17;0;0.215064;1222;61589.0
404.3;1975;04/03/17;0;0.215064;0;50991.0
0.05;1975;04/03/17;0;0.215064;92;89405.0
379.3;2000;04/03/17;0;0.215064;0;79661.0
0.05;2000;04/03/17;0;0.215064;578;56253.0
354.3;2025;04/03/17;0;0.215064;0;43076.0
0.05;2025;04/03/17;0;0.215064;438;40524.0
339.3;2040;04/03/17;0;0.215064;0;65430.0
0.1;2040;04/03/17;0;0.215064;72;48174.0
329.3;2050;04/03/17;0;0.215064;0;35808.0
0.05;2050;04/03/17;0;0.215064;399;43482.0
319.3;2060;04/03/17;0;0.215064;0;37274.0
0.1;2060;04/03/17;0;0.215064;406;34770.0
309.3;2070;04/03/17;0;0.215064;0;35074.0
0.1;2070;04/03/17;0;0.215064;73;42960.0
304.3;2075;04/03/17;0;0.215064;0;39366.0
0.1;2075;04/03/17;0;0.215064;417;29487.0
299.3;2080;04/03/17;0;0.215064;0;43431.0
0.1;2080;04/03/17;0;0.215064;75;58804.0
289.3;2090;04/03/17;0;0.215064;0;44430.0
0.05;2090;04/03/17;0;0.215064;100;34022.0
279.3;2100;04/03/17;0;0.215064;0;46114.0
0.1;2100;04/03/17;0;0.215064;474;57840.0
269.4;2110;04/03/17;0;0.215064;0;97408.0
0.1;2110;04/03/17;0;0.215064;220;76666.0
264.4;2115;04/03/17;0;0.215064;0;57505.0
0.1;2115;04/03/17;0;0.215064;35;43706.0
259.4;2120;04/03/17;0;0.215064;0;43582.0
0.1;2120;04/03/17;0;0.215064;144;45136.0
250.8;2125;04/03/17;0;0.215064;0;49773.0
0.1;2125;04/03/17;0;0.215064;5;42907.0
245.7;2130;04/03/17;0;0.215064;0;50169.0
0.1;2130;04/03/17;0;0.215064;148;46622.0
241;2135;04/03/17;0;0.215064;0;39422.0
0.25;2135;04/03/17;0;0.215064;100;41196.0
236.1;2140;04/03/17;0;0.215064;0;53531.0
0.15;2140;04/03/17;0;0.215064;108;49444.0
231.2;2145;04/03/17;0;0.215064;0;66303.0
0.15;2145;04/03/17;0;0.215064;0;42686.0
226.1;2150;04/03/17;0.000001;0.215064;0;47659.0
0.15;2150;04/03/17;0.000001;0.215064;260;58133.0
221;2155;04/03/17;0.000001;0.215064;0;44672.0
0.15;2155;04/03/17;0.000001;0.215064;95;56494.0
215.9;2160;04/03/17;0.000002;0.215064;0;52050.0
0.15;2160;04/03/17;0.000002;0.215064;152;77495.0
211.3;2165;04/03/17;0.000002;0.215064;0;55113.0
0.15;2165;04/03/17;0.000002;0.215064;60;107848.0
205.9;2170;04/03/17;0.000004;0.215064;0;60900.0
0.15;2170;04/03/17;0.000004;0.215064;92;56461.0
201.3;2175;04/03/17;0.000005;0.215064;0;136028.0
0.15;2175;04/03/17;0.000005;0.215064;440;86709.0
195.9;2180;04/03/17;0.000008;0.215064;0;46380.0
0.3;2180;04/03/17;0.000008;0.215064;125;52308.0
190.8;2185;04/03/17;0.000012;0.215064;0;58446.0
0.3;2185;04/03/17;0.000012;0.215064;159;38198.0
185.8;2190;04/03/17;0.000017;0.215064;0;39943.0
0.2;2190;04/03/17;0.000017;0.215064;82;63565.0
180.9;2195;04/03/17;0.000024;0.215064;0;44549.0
0.2;2195;04/03/17;0.000024;0.215064;40;39504.0
175.9;2200;04/03/17;0.000033;0.215064;5;41926.0
0.15;2200;04/03/17;0.000033;0.215064;3276;44431.0
170.9;2205;04/03/17;0.000046;0.215064;0;42953.0
0.2;2205;04/03/17;0.000046;0.215064;163;44046.0
166.4;2210;04/03/17;0.000063;0.215064;1;72261.0
0.2;2210;04/03/17;0.000063;0.215064;173;49917.0
160.8;2215;04/03/17;0.000085;0.215064;0;42144.0
0.2;2215;04/03/17;0.000085;0.215064;8806;48995.0
155.8;2220;04/03/17;0.000115;0.215064;0;47967.0
0.2;2220;04/03/17;0.000115;0.215064;307;40941.0
151;2225;04/03/17;0.000152;0.215064;0;45404.0
0.2;2225;04/03/17;0.000152;0.215064;621;60420.0
146;2230;04/03/17;0.0002;0.215064;12;50523.0
0.2;2230;04/03/17;0.0002;0.215064;455;56118.0
141;2235;04/03/17;0.00026;0.215064;6;59344.0
0.2;2235;04/03/17;0.00026;0.215064;350;68448.0
135.8;2240;04/03/17;0.000335;0.215064;1;73194.0
0.35;2240;04/03/17;0.000335;0.215064;2407;155332.0
130.9;2245;04/03/17;0.000427;0.215064;2;93014.0
0.2;2245;04/03/17;0.000427;0.215064;310;59489.0
123.2;2250;04/03/17;0.000538;0.215064;83;52746.0
